Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
961	711.924	0.740815	118.892	0.123717	0	0	711.924	118.892	26.4395	0.0275125	57.5664	0.0599026	798	29079	14940	6952	111	102	31
758	205.395	0.27097	205.039	0.2705	0	0	205.395	205.039	4.84432	0.00639092	24.0819	0.0317704	575724	542235	540830	425724	129735	26731	11526
1804	684.555	0.379465	3201.91	1.77489	488.146	0.270591	684.555	3201.91	44.737	0.0247988	22.1631	0.0122855	66626	34063	7768	7874	7994	4179	31574
1225	211.476	0.172633	76.7375	0.0626429	86.7249	0.0707958	211.476	76.7375	19.6399	0.0160326	35.4993	0.028979	746524	718739	521305	471335	9957	376515	384825
2307	2002.67	0.868085	639.616	0.27725	385.441	0.167075	2002.67	639.616	35.2089	0.0152618	36.4587	0.0158035	38878	279589	119288	133642	15842	3759	73796
1100	161.143	0.146494	230.735	0.209759	259.422	0.235838	161.143	230.735	16.8822	0.0153474	28.1596	0.0255996	1022946	522892	1010856	445022	77673	5642	0
928	1623.14	1.74908	315.468	0.339944	340.703	0.367137	1623.14	315.468	15.9045	0.0171385	49.4112	0.0532448	5184014	5091324	1876167	2079962	1191	4609	14219
480	19.3087	0.0402264	0	0	0	0	19.3087	0	3.21009	0.00668769	0	0	77789	3068894	24006	25459	701	1979	558
741	1321.28	1.78311	28.7323	0.0387751	54.3278	0.0733168	1321.28	28.7323	4.96835	0.00670492	6.71608	0.00906354	11360	9107	3562	6751	3182	0	9436
1149	286.535	0.249377	1176.97	1.02435	0	0	286.535	1176.97	7.0549	0.00614004	7.67552	0.00668017	433897	1073244	183998	22105	10517	15502	11051
1930	357.992	0.185488	237.785	0.123205	110.951	0.0574876	357.992	237.785	31.9842	0.0165721	14.3916	0.00745679	17621	347543	5996	6084	5377	723	6447
820	0	0	0	0	0	0	0	0	0	0	0	0	182269	85890	124828	33187	14430	1941	38498
1206	684.499	0.567578	1541.08	1.27785	0	0	684.499	1541.08	17.0281	0.0141195	23.0266	0.0190933	116323	58850	34371	15529	12589	915	0
760	106.347	0.139931	138.293	0.181965	149.893	0.197227	106.347	138.293	9.91481	0.0130458	14.0558	0.0184945	2250435	2689657	2052862	300720	78514	1683	0
