Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
2093	956.121	0.456819	2219.41	1.0604	203.738	0.0973424	956.121	2219.41	35.3256	0.016878	75.8438	0.0362369	1893271	2128832	2019779	415241	130437	4311	2377
427	2458.29	5.75713	0	0	110.951	0.259839	2458.29	0	45.7803	0.107214	55.0239	0.128862	22864	195000	7234	7792	2512	735	22346
919	211.476	0.230115	241.963	0.26329	110.951	0.12073	211.476	241.963	6.42748	0.00699399	27.8238	0.0302761	4494676	2204741	1387636	2205008	30553	16105	0
645	156.671	0.2429	70.1118	0.108701	0	0	156.671	70.1118	3.07877	0.00477329	0	0	4602412	21041893	1173137	4255932	172	0	936517
1011	32.1811	0.031831	0	0	0	0	32.1811	0	4.64734	0.00459677	0	0	1781333	2191015	1585687	596892	51703	8803	0
1838	2363.89	1.28612	166.056	0.0903461	0	0	2363.89	166.056	26.5635	0.0144524	68.9838	0.037532	756037	55820	144528	145048	27700	731	9694
728	58.8404	0.0808247	241.01	0.331058	228.1	0.313324	58.8404	241.01	4.34821	0.00597282	14.3916	0.0197687	52136	684222	45821	2421	2421	0	14481
1282	466.145	0.363608	257.059	0.200514	207.279	0.161684	466.145	257.059	16.1599	0.0126052	33.6764	0.0262686	584198	847164	528470	461607	57011	0	0
605	352.852	0.583227	1913.67	3.16309	156.531	0.25873	352.852	1913.67	10.6152	0.0175458	27.0562	0.044721	360268	52136	313926	58122	16646	0	32866
947	492.701	0.520275	223.59	0.236104	161.224	0.170247	492.701	223.59	8.59428	0.00907527	0	0	408714	96319	270863	142720	92721	10886	31715
1727	702.664	0.40687	2088.41	1.20927	470.818	0.272622	702.664	2088.41	15.372	0.00890096	5.94853	0.00344443	40773	146293	104594	478	0	217	3590
854	1377.88	1.61344	176.476	0.206647	4510.37	5.28147	1377.88	176.476	415.59	0.48664	248.015	0.290416	0	16045	3868	5392	0	673	18794
2403	1897.29	0.789551	617.665	0.257039	1254.98	0.522256	1897.29	617.665	250.825	0.10438	184.788	0.076899	4601	145202	78464	40134	40154	59	0
1066	238.214	0.223465	161.651	0.151643	201.907	0.189406	238.214	161.651	7.35403	0.00689872	12.7126	0.0119255	876	34261	10770	11293	2579	2220	0
592	0	0	0	0	0	0	0	0	6.52962	0.0110298	2.97427	0.0050241	782227	28283	323208	147136	32477	6104	6599
2083	545.355	0.261812	123.902	0.0594822	501.157	0.240594	545.355	123.902	21.9308	0.0105285	26.8643	0.0128969	4778700	4104600	1715212	1112796	30431	0	35101
776	165.924	0.213819	0	0	0	0	165.924	0	2.56807	0.00330937	0	0	67744	190821	122935	11675	11675	13056	34580
1793	963.91	0.537596	1263.06	0.704442	201.146	0.112184	963.91	1263.06	10.2139	0.00569656	13.4322	0.00749145	16786	903584	11865	12548	12548	8410	0
704	412.929	0.586547	0	0	0	0	412.929	0	10.7392	0.0152546	22.355	0.0317542	2932	17624	166	10712	10692	765	0
1461	121.369	0.0830724	0	0	64.8119	0.0443614	121.369	0	8.63077	0.00590744	24.9455	0.0170742	770908	1322619	806278	762571	51476	16135	4463
1459	655.134	0.449029	457.557	0.31361	325.652	0.223202	655.134	457.557	272.26	0.186607	229.786	0.157495	355199	8131	21265	52238	15758	370	2995
804	0	0	12.5172	0.0155686	0	0	0	12.5172	0.714974	0.000889271	0	0	561276	441048	111792	78875	4906	39888	21037
2346	16915.7	7.21045	928.713	0.395871	579.612	0.247064	16915.7	928.713	318.835	0.135906	315.464	0.134469	0	107388	10663	12023	0	0	6684
524	424.553	0.810216	0	0	13.0081	0.0248245	424.553	0	8.55052	0.0163178	0	0	1388667	17828148	1042434	1042187	264287	11143	5673
984	0	0	0	0	0	0	0	0	0	0	0	0	30281	9576	20733	20988	5842	836	0
955	275.986	0.288991	732.926	0.767461	54.1585	0.0567105	275.986	732.926	6.49314	0.0067991	19.1408	0.0200428	1389015	6019764	1067191	138038	17290	1094	8304
