DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	721	208.49	0.289168	0	0	0.69264	0.000960666	410.2	0.568932	26.1185	0.0362254	16.5983	0.0230212	1171	4795	458	478	7982	193475	144900
1	2037	5878.43	2.88583	574.847	0.282203	387.717	0.190337	1595.9	0.783456	36.2959	0.0178183	63.3231	0.0310864	20699	2173	6372	1703	4698	342914	0
1	2159	9343.57	4.32773	789.877	0.365853	766.242	0.354906	836.5	0.387448	175.891	0.0814689	199.18	0.0922556	11697	2456	11255	0	3215	454341	0
1	900	243.98	0.271088	68.5515	0.0761683	0	0	458	0.508889	12.0743	0.0134159	30.846	0.0342733	1368	2403	5094	954	3024	289616	29420
1	1000	215.725	0.215725	0	0	0	0	60.5	0.0605	5.13615	0.00513615	19.2368	0.0192368	0	112	84202	3495	119508	59251	88213
1	575	59.7649	0.103939	221.915	0.385939	25.3984	0.0441712	0	0	5.61766	0.00976984	13.4322	0.0233603	14717	4146	138622	51386	455192	275315	423897
1	707	0	0	0	0	0	0	482.5	0.682461	12.658	0.0179038	7.67552	0.0108565	34512	2006	27024	27044	53104	189780	29862
1	884	0	0	0	0	0	0	502.9	1.08618	11.3812	0.0128747	0	0	305025	100966	161818	101058	223793	997703	869136
1	1095	0	0	0	0	0	0	241.6	0.752648	6.36182	0.00580988	7.67552	0.00700961	307664	103605	164457	103697	226432	1000342	871775
1	1519	0	0	0	0	0	0	0	0	0	0	2.15874	0.00142116	337014	132955	193807	133047	255782	1029692	901125
1	939	0	0	0	0	0	0	0	0	0.817113	0.000870195	0	0	341072	137013	197865	137105	259840	1033750	905183
1	2069	0	0	0	0	0	0	0	0	0	0	0	0	342337	138278	199130	138370	261105	1035015	906448
1	1642	0	0	0	0	0	0	3	1.5	0.65661	0.000399884	0	0	346318	142259	203111	142351	265086	1038996	910429
