DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
DSB_type	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
1	1377	6736.45	4.89212	400.073	0.290539	337.835	0.245341	724.5	0.526144	296	0.21496	187.762	0.136356
1	3849	26644.4	6.92243	1485.48	0.38594	1021.1	0.265289	4768.3	1.23884	756.612	0.196574	593.893	0.154298
1	674	5081.78	7.53973	260.136	0.385959	1706.49	2.53188	126.3	0.187389	45.7001	0.0678043	34.6358	0.0513884
1	3806	17647.4	4.63674	1448.41	0.380558	489.888	0.128715	2137.2	0.561534	158.447	0.0416309	200.811	0.0527617
1	1188	7656.08	6.44451	110.949	0.0933912	319.751	0.269151	1629.2	1.37138	89.9337	0.0757018	62.6515	0.0527369
1	756	2879.3	3.8086	463.084	0.612545	6650.11	8.79644	259.5	0.343254	101.702	0.134526	92.9698	0.122976
1	1434	4221	2.94351	316.893	0.220985	80054.1	55.8258	742.5	0.517782	1310.53	0.913897	747.884	0.521537
1	4801	18045.1	3.75861	1554.29	0.323743	711.011	0.148096	3257.5	0.678504	650.401	0.135472	491.809	0.102439
1	700	3327.58	4.75368	303.964	0.434234	66.0987	0.0944267	1841.4	2.63057	76.6556	0.109508	72.8215	0.104031
1	519	773.301	1.48998	0.49483	0.00095343	203.309	0.391732	0	0	48.611	0.0936629	65.3379	0.125892
1	691	65.611	0.0949507	0	0	0	0	259.1	0.374964	6.36912	0.00921725	11.0815	0.0160369
1	704	0	0	714.384	1.01475	0	0	319.9	0.454403	1.45913	0.00207263	2.3986	0.0034071
1	5921	30036.1	5.07281	2504.94	0.42306	1365.5	0.23062	4911.3	0.829471	208.423	0.0352006	274.4	0.0463435
1	775	105.738	0.136436	231.744	0.299024	0	0	359.6	0.464	16.3058	0.0210398	28.7832	0.0371396
1	1436	105.738	0.0736336	118.892	0.0827941	0	0	164.5	0.117668	7.36862	0.00513135	7.67552	0.00534507
1	1270	182.235	0.143492	545.868	0.429817	55.8581	0.0439828	407.3	0.418602	11.1624	0.00878927	5.27692	0.00415506
1	465	90.8076	0.195285	508.636	1.09384	137.286	0.295239	123.1	0.264731	9.92211	0.0213379	14.3916	0.0309497
1	1263	207.021	0.163912	230.314	0.182354	77.064	0.0610166	209.5	0.165875	11.1259	0.00880909	16.7422	0.0132559
1	927	211.476	0.228129	68.3631	0.0737466	0	0	0	0	16.1015	0.0173695	87.0212	0.093874
