DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	635	155.562	123.328	65.0403	319.1	5.50823	7.1958	0	346	38556	476	14377	95981	166
1	568	97.8212	97.4787	0	0.5	2.13033	14.7754	10885	9435	41237	41277	40883	56680	53289
1	762	555.954	212.003	221.897	77.2	16.4736	37.8019	0	112	6597	201	36545	401930	6621
1	407	0	237.79	0	278.4	5.15803	15.3511	9680	5046	171002	15008	253447	185290	369771
1	1142	0	32.999	0	165.6	11.8628	20.1483	0	258	5691	5711	5805	1261	23202
1	1035	8.27514	156.55	0	201.4	1.96983	15.1112	0	0	7475	6728	7077	1013546	11139
1	837	0	9.9077	0	63.2	7.7334	22.0671	33073	6955	89030	8910	45462	429289	109692
1	371	0	0	0	79	1.54668	6.71608	5288	729	61245	18356	60814	457540	81907
1	728	105.738	0	0	189.8	5.3842	0	0	7156	24723	24802	100406	1149146	71237
1	759	0	0	0	116.2	4.80784	3.35804	15655	10811	210351	80571	209435	126859	274976
1	631	209.624	12.88	0	0	7.83554	12.8085	16693	19406	83567	43514	82337	64886	159623
1	359	0	0	0	0	0	0	24820	1854	26498	26498	57060	18268	626658
1	650	221.59	214.006	58.1537	69	7.15704	0	18691	2820	6410	6410	37701	223319	472193
1	458	0	0	0	0	4.78595	21.1077	9876	11080	353921	18163	352135	302768	1049184
1	634	111.255	0	0	0	3.75727	12.1849	17289	6422	11362	11350	18511	523546	87983
1	380	0	0	0	71.4	1.45913	6.47622	59788	2666	50216	50196	198787	472501	208798
1	324	84.5903	0	0	69	1.3424	12.6646	10301	1505	13589	13609	13233	327900	151039
1	429	52.5058	2.94516	0	0	1.63423	0	12806	8241	36117	9934	36290	172023	274649
1	1082	317.215	0	0	71.1	6.56609	0	2470	1414	103369	80570	2894862	3244523	2858720
1	915	86.0841	0	204.303	357	7.76258	1.5351	2402	2003	608049	29839	1030429	1380090	994287
1	1794	46.2688	89.4678	0	32.3	11.8628	9.64237	5091	4802	11578	3115	2952	11277	12298
1	802	32.959	69.0855	0	1247.7	8.60888	18.6611	44667	128974	37293	14429	281412	568217	583541
1	2507	302.503	221.932	221.902	1432.8	86.2494	36.4587	532481	36153	1226945	0	35023	1347409	1362335
1	986	104.163	163.06	172.729	2612.1	47.772	79.3457	182099	967	5603	4023	139071	5267	2760473
1	893	0	0	0	0	1.53939	0	452106	131606	232065	119440	409078	263560	3030480
1	492	0	0	0	192.9	10.5349	3.45398	2038	641	968299	10760	232215	826858	975994
1	1051	145.275	118.892	0	0	2.74317	16.5503	7158	24252	183037	40735	975884	1366988	980942
1	706	272.138	118.892	20.7805	120.6	6.13565	4.17356	562	1133	31702	30586	400277	1754620	1775764
1	604	0	181.311	149.957	124.9	10.2431	22.0671	42081	818	225128	43808	279585	280261	443283
1	773	0	214.499	0	55.5	8.67455	27.2481	8703	8660	77812	8935	838186	1594749	957081
1	878	122.902	475.609	110.951	255.6	10.71	11.2254	96932	4226	6607	6627	6336	278352	199141
1	950	77.2346	0	0	215.7	12.782	13.4322	21690	6643	138215	1111	235054	226779	404652
1	488	226.96	350.441	59.9209	298.1	12.782	8.0593	20667	7290	9483	9463	10835	510396	78451
1	468	0	51.52	30.6072	7.9	7.19352	11.945	4311	2352	184812	120440	254413	1182922	1073390
1	451	11.953	0	0	15.3	2.07197	15.3511	2345	4202	500439	17633	403775	752686	904093
1	1099	118.61	0	0	0	18.1808	16.1186	1739	17867	138878	35778	1611874	1960785	2112192
1	564	139.758	118.892	0	90.7	1.16731	0	683	24155	52191	52186	52339	289454	743092
1	1096	0	656.28	110.951	187.6	21.6827	23.0266	10324	20219	20274	49909	96286	15833	113729
1	680	178.403	262.709	0	402.7	2.1887	6.71608	15510	7370	21310	4608	182963	1984024	324740
1	619	0	237.785	0	0	3.49462	0	2671	2909	45444	45380	213456	1472033	747811
1	1032	45.973	173.394	0	227.4	3.38518	29.215	2742	7275	151592	20748	151072	48868	749085
1	611	153.55	868.953	3.06072	155.5	16.8749	63.9467	5865	23928	148349	29288	337326	143844	410992
1	831	125.966	0	0	571.6	13.5043	22.0671	43951	380	45610	3130	403070	63864	620737
1	329	93.7849	0	54.3278	446.1	5.43527	13.672	3585	3726	59136	27996	123851	159050	42828
1	900	266.644	533.079	44.3804	0	2.74317	22.0671	0	609	319593	249133	303957	39253	420587
1	1063	694.628	491.676	187.59	955.8	10.5568	7.67552	4844	7206	22644	41827	582416	1012095	546170
1	548	102.541	57.6519	0	0	1.02139	7.67552	3157	4666	11116	7394	129256	336376	749996
1	643	184.031	0	0	127.4	7.94498	13.4322	19147	543	723383	17910	3738	533043	757036
1	526	0	12.8288	0	68.6	3.57487	0	4626	7552	615229	190252	827524	635724	1022557
1	505	0	0	0	385	2.53889	1.15133	23374	21874	53197	40276	252357	1184213	571393
1	545	0	216.83	178.259	1306.9	26.4687	5.42084	0	2198	16998	0	16758	469284	512128
1	727	152.317	0	0	34.4	9.5792	3.54993	1695	1815	259158	1587	519305	76988	526744
1	532	56.767	0	0	201.2	0.693089	0	0	3692	52476	31916	52212	266985	54504
1	605	309.513	241.885	72.2584	303.2	6.39101	9.97818	11677	137	6067	6107	84490	195490	3601
1	919	306.189	229.349	0	196.6	4.18771	0	5157	6915	77759	7754	171562	56374	161241
1	684	105.738	0	4.59108	183.8	8.0763	0	18487	8224	195183	173600	854416	842163	864723
1	456	114.933	61.4277	0	141.1	3.76456	1.87091	9331	0	273687	252104	776140	763887	786447
1	1261	105.738	237.785	110.951	0	7.74069	0	13848	188	256963	256955	729983	717730	740290
1	620	39.3631	6.92795	0	54.1	10.0534	0	1068	677	31100	10572	30752	133303	35497
1	712	0	0	0	103	0.941141	4.26951	178209	39587	5848822	9903	416955	22634783	6195302
1	832	0	0	0	0	2.1887	14.3916	1571	120160	5672184	18206	240317	22458145	6018664
1	885	335.27	165.272	121.743	2106.2	46.1451	65.7217	860440	1330	4333671	7371	1097060	21119632	4680151
1	1754	600.779	519.401	229.088	6037.9	75.6488	74.7884	869312	4257	4323930	16243	1105932	21109891	4670410
1	636	0	0	0	0	2.04278	0	82167	168588	885255	107355	885502	17671216	1231735
1	960	6.43622	12.88	48.9715	95.3	5.93867	1.10336	72811	6524	13148	9614	127924	15921075	368193
1	695	144.057	27.2147	114.047	0	4.94646	0	956	404	120497	26554	201685	14820900	209057
1	651	210.682	106.99	110.951	80	7.54371	34.5399	20618	5735	7187	7167	51153	14496835	533166
1	805	211.571	0	0	32.2	4.23148	13.4322	3972	250	220581	5964	430023	12561259	440293
1	1395	47.9686	8.08202	0	284.9	2.27625	11.3214	28271	12715	1604972	72922	1077909	7462473	2019652
1	689	0	118.892	0	234.9	4.18771	0	30508	17193	386609	49479	557353	328657	1110273
1	642	105.738	713.4	110.951	69	11.5709	13.4322	41825	2340	12432	12426	18991	18547	151173
1	484	0	54.3907	50.8207	66.8	2.24706	5.56475	5995	2912	111303	52065	111062	149022	242238
1	490	226.028	0	2021.28	143.8	23.2732	5.42084	1763	1012	890	0	0	64021	4294
1	1411	105.738	0	0	122.1	2.1887	0	0	973416	1417887	948367	1416673	1747574	1425423
1	839	0	237.809	0	122.9	1.16731	6.71608	0	156411	600882	131362	599668	930569	608418
1	878	0	320.025	65.0403	0	8.18574	28.9751	0	3370	12969	7449	29434	42444	58040
1	470	0	0	8.80893	153	0.933844	4.22154	1052	2310	10385	10405	10564	72494	34190
1	831	317.214	0	0	227.1	15.3355	23.2185	27465	320	272357	72419	405400	605767	726410
1	701	86.6628	206.319	0	224.7	8.36083	26.4806	450	0	137306	83778	435676	214136	541868
1	601	0	88.1811	110.951	112	5.42797	6.86	0	2637	18194	18223	48418	20635	78487
1	718	0	109.975	0	69.3	6.24509	11.3214	9309	8713	284483	146981	923212	235871	789670
1	535	97.6463	84.2597	41.5398	138.1	4.50871	13.3842	0	3303	332935	332975	680596	478670	547054
1	609	1140.4	192.166	33.1148	0	33.0056	55.9354	10242	6449	9348	8308	7967	581846	3073
1	588	113.026	172.17	0	0	6.94547	15.351	18155	321	11613	25007	227481	561048	909854
1	583	79.0032	10.3909	1.38537	37.7	7.54372	20.8678	66688	4593	31105	31131	111311	322179	219782
1	362	507.235	0	0	200	6.34723	26.7684	0	16270	101065	93470	100545	322710	6966
1	686	241.483	121.561	119.545	471.6	12.6799	36.2668	2930	4535	64483	23403	301791	131306	313675
1	862	8.58156	116.911	0	69.9	7.82095	26.6245	0	7757	28014	9580	36864	80737	81005
1	730	359.794	81.6969	0	46.4	6.5661	6.47622	5786	1490	871806	10039	871882	3244719	1959546
1	416	92.3158	0	52.7974	4.9	3.04959	0	10067	6684	1245731	6925	1016903	3618644	1585935
1	661	267.563	0	54.3278	69	8.63807	18.3733	4806	10022	533012	38981	527530	1841248	1516986
1	1069	33.6584	59.689	0	331.2	6.21591	14.3916	7682	6504	572554	156945	572189	3398026	1699540
1	638	315.777	77.7294	0	0	1.16731	14.1038	16696	2873	137381	9624	370259	978462	608914
1	865	105.738	72.3262	72.6921	0	8.9153	2.7344	14559	4895	5114	5134	14096	263799	126343
1	664	0	0	28.3331	218.9	8.95179	19.3807	104096	449	363200	38200	636979	636271	1687521
1	981	83.0277	85.7031	84.6867	219	13.3657	27.8238	0	2426	46111	27720	46258	6383	67947
1	512	1.7604	93.0793	0	0	4.49413	0.767552	47354	4641	175883	23295	174581	48718	291800
1	796	62.657	12.1228	0	63	0.53988	11.993	0	7804	30837	3257	40298	392530	49295
1	1179	286.535	346.24	106.704	199.8	9.38951	22.0671	0	10562	51095	89225	530061	1503060	805906
1	893	73.7519	267.307	14.7763	394.3	2.84531	21.5874	0	2298	77491	55508	77135	29139	80156
1	971	0	163.564	73.1819	14.6	5.3988	0	8284	5064	25267	25250	66042	17975	109941
1	677	0	0	0	0	5.39879	0	5728	105106	118459	105180	117871	672145	792373
1	886	231.825	423.318	0	1.3	6.97465	11.7052	0	18717	181167	26187	214832	1287114	1199009
1	640	0	217.984	44.3804	271	5.09237	0.911468	6918	1934	33217	25254	546091	3223964	519468
1	1049	105.738	169.422	123.194	25.5	6.91629	42.6471	0	9180	169912	23915	1222359	4860043	3665192
1	786	4.401	101.055	0	14.7	4.27526	14.3916	15799	6430	369155	31907	806633	4320042	3125191
1	432	0	78.2708	14.5384	0	5.51552	0	2458	6259	10675	10715	497984	246558	643545
1	641	79.708	46.7542	88.4796	1916.5	15.0656	14.3916	0	0	36725	395	36388	58856	39065
