DSBType	Size	Sum_H3K36me3	Sum_H3K27me3	Sum_H3K4me3	Sum_CTCF	Sum_DNaseIHSS1	Sum_DNaseIHSS2	DistancetoOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	748	0	0	0	0	0	0	363243	159184	220036	159276	282011	1055921	927354
1	544	0	0	0	0	0	0	365250	161191	222043	161283	284018	1057928	929361
1	751	0	0	0	0	0	0	386277	182218	243070	182310	305045	1078955	950388
1	1593	0	0	0	0	0	0	393184	189125	249977	189217	311952	1085862	957295
1	688	0	0	0	0	0	0	395344	191285	252137	191377	314112	1088022	959455
1	512	0	0	0	0	0.102139	0	399223	195164	256016	195256	317991	1091901	963334
1	1135	0	0	0	0	0	6.71608	404671	200612	261464	200704	323439	1097349	968782
1	687	0	0	0	9	0	0	163913	10894	1192851	53340	1192624	2488314	1463318
1	1709	0	0	0	141.1	4.3774	0	154936	26956	1175767	36256	1175540	2471230	1446234
1	715	0	0	0	589.1	1.16731	0	150736	32150	1171567	32056	1171340	2467030	1442034
1	1035	0	0	0	499.1	4.27526	6.71608	148803	33763	1169634	30123	1169407	2465097	1440101
1	714	20.6847	0	0	491.3	4.58168	21.1557	120203	17827	1141034	1523	1140807	2436497	1411501
1	512	162.235	76.5175	94.7787	894.3	15.5252	13.3362	67922	735	1088753	35263	1088526	2384216	1359220
1	1106	0	0	13.7732	1187.6	20.8802	26.2887	24176	14646	961195	108679	960968	2256658	1231662
1	1241	0	0	0	147.7	2.29084	0	42533	2311	942703	90187	942476	2238166	1213170
1	531	0	0	0	131.6	21.887	34.5398	51022	10800	934924	82408	934697	2230387	1205391
1	895	0	0	0	499.9	11.0238	38.1378	66791	26569	918791	66275	918564	2214254	1189258
1	878	0	0	0	420.9	4.55249	15.3511	70334	30112	915265	62749	915038	2210728	1185732
1	1149	0	0	0	0	0	0	82619	42397	902709	50193	902482	2198172	1173176
1	403	0	0	0	0	0	0	88624	48402	897450	44934	897223	2192913	1167917
1	616	0	0	0	0	0	0	89943	49721	895918	43402	895691	2191381	1166385
1	794	0	0	0	0	11.819	21.1077	114376	74154	871307	18791	871080	2166770	1141774
1	452	0	0	0	0	0	0	131912	91690	854113	1597	853886	2149576	1124580
1	601	0	87.1878	65.8055	481.3	1.02139	0	139849	99627	846027	5740	845800	2141490	1116494
1	1103	0	0	0	188.6	5.83654	0.287832	148713	108491	836661	14604	836434	2132124	1107128
1	457	0	0	0	0	1.3424	6.71608	150346	110124	835674	16237	835447	2131137	1106141
1	731	0	0	0	438.8	2.33461	0	152497	112275	833249	18388	833022	2128712	1103716
1	1144	0	0	0	0	0	0	154941	114719	830392	20832	830165	2125855	1100859
1	939	0	0	0	74.4	5.10696	12.4727	161700	121478	823838	27591	823611	2119301	1094305
1	1166	0	0	0	0	3.35601	0	163333	123111	821978	29224	821751	2117441	1092445
1	944	0	0	0	0	1.16731	0	169477	129255	816056	26056	815829	2111519	1086523
1	551	0	0	0	0	0	0	171575	131353	814351	24351	814124	2109814	1084818
1	1162	0	0	0	0	2.1887	0	173299	133077	812016	22016	811789	2107479	1082483
1	1977	0	0	0	0	0	7.67552	176517	136295	807983	17983	807756	2103446	1078450
1	667	0	0	0	0	0	0	183367	143145	802443	12443	802216	2097906	1072910
1	2175	0	118.892	0	0	0	0	185398	145176	798904	8904	798677	2094367	1069371
1	1046	0	0	0	0	2.56077	16.1666	198021	157799	787410	1396	787183	2082873	1057877
1	358	0	0	0	0	2.83071	16.6943	103234	338804	607093	20759	606866	1902556	877560
1	644	0	0	0	0	0	0	43081	303485	546940	38602	546713	1842403	817407
1	416	0	0	0	28.7	1.5029	9.88224	3025	263429	506884	33648	506657	1802347	777351
1	1444	3.67784	0	0	0	2.26165	7.19581	0	244217	487672	14436	487445	1783135	758139
1	899	0	0	110.951	168.3	0	0	2092	241565	485020	11784	484793	1780483	755487
1	2230	105.738	118.892	0	1352.8	185.894	185.172	10900	219201	462656	8202	462429	1758119	733123
1	804	0	0	0	927.7	44.5984	26.8643	7698	215999	459454	12830	459227	1754917	729921
1	683	0	0	0	0	0.233461	0	42776	153916	397371	75034	397144	1692834	667838
1	544	0	0	0	0	0	0	48947	147884	391339	81205	391112	1686802	661806
1	1105	0	0	0	0	0	0	52001	144269	387724	84259	387497	1683187	658191
1	753	0	0	0	0	0	0	72187	124435	367890	91917	367663	1663353	638357
1	1248	0	0	0	0	0	0	72982	123145	366600	90627	366373	1662063	637067
1	1544	0	0	0	0	0	0	76628	119203	362658	86685	362431	1658121	633125
1	554	0	0	0	433.9	2.1887	0	107229	61380	304835	28862	304608	1600298	575302
1	1108	0	0	0	1056.8	7.73341	7.67552	94391	48542	291997	16024	291770	1587460	562464
1	490	0	0	0	241.1	3.21009	14.3916	74174	28325	271780	3555	271553	1567243	542247
1	699	105.738	0	0	158.8	10.5058	6.71608	62923	17074	260529	14597	260302	1555992	530996
1	1589	0	74.2578	83.9494	340.3	3.356	28.4474	60388	14539	257994	16242	257767	1553457	528461
1	1432	0	0	0	961.9	5.10697	22.0671	40812	3311	238418	35975	238191	1533881	508885
1	1131	221.41	56.4482	215.713	2039.1	25.9142	59.0536	11639	32785	209245	65449	209018	1504708	479712
1	1572	294.562	352.801	58.6462	5231.6	71.8185	39.5289	5689	38294	203295	70958	203068	1498758	473762
1	804	95.2814	219.722	300.465	2667	43.7448	35.2115	1587	43164	199193	75828	198966	1494656	469660
1	555	0	0	0	0	0	0	0	188447	294214	140374	311738	830682	191802
1	463	88.1978	141.876	61.2526	782.3	14.6351	22.6428	6842	0	31875	3462	40537	40166	74593
1	1354	0	0	0	0	0	0	19467	40509	42285	42269	46476	213936	104752
1	406	0	0	0	0	0	0	8193	18034	17776	17776	17283	184743	75559
1	612	740.937	124.657	76.074	695	3.7062	0	0	282	8825	8825	7612	23582	6970
1	1392	40.4562	0	0	0	2.1887	6.71608	132839	18470	17854	13014	17242	110220	30702
1	466	0	118.892	0	186.6	2.65562	0	246025	4521	4900	4909	23200	6436	704484
1	631	0	0	0	306.4	1.16731	0	12127	31598	31632	31632	32601	341073	1082884
1	561	0	0	0	0	0	0	33136	48561	48433	41842	42101	260059	1163968
1	623	108.496	0	0	262.1	7.04032	38.6175	8799	106851	106723	100132	100391	201707	1222258
1	803	0	0	0	0	0	4.41342	0	333278	18230	18230	17934	23970	1320448
1	456	0	0	0	0	0	0	13894	392492	77444	28976	77148	83184	1261581
1	933	0	0	0	0	0	0	7594	398315	83267	34799	82971	89007	1255281
1	781	0	0	0	0	0	0	0	390588	98655	50187	98359	104395	1240045
1	514	0	0	0	0	0	0	8244	379848	109662	61194	109366	115402	1229305
1	453	0	0	0	0	0	0	16680	371473	118098	69630	117802	123838	1220930
1	957	0	0	0	0	1.02139	0	15916	369501	119566	71098	119270	125306	1218958
1	608	0	0	0	0	3.71349	6.71608	0	247254	128602	54542	241866	247902	1096711
1	470	0	0	0	0	0	0	0	244342	125690	51630	244916	250952	1093799
1	371	0	0	0	0	0	0	0	237736	119084	45024	251621	257657	1087193
1	734	0	0	0	0	0	0	0	219361	100709	26649	269633	275669	1068818
1	623	0	0	0	0	0	0	244	217795	99143	25083	271310	277346	1067252
1	749	0	0	22.9554	0	0	0	0	25895	91860	91860	195074	469120	875352
1	734	0	0	0	368.1	5.54471	20.1483	0	23356	94414	94414	192535	471674	872813
1	772	105.738	64.8764	0	0	7.55831	0	10881	11043	76531	28684	98022	566149	778300
1	380	53.9548	51.9649	51.2585	85	4.50872	0	2993	34301	53665	5818	75156	589407	755434
1	424	105.738	0	0	0	8.49945	12.041	16587	26144	5590	5630	1854	182456	16504
1	649	99.7007	0	78.0255	233.3	7.29566	28.7832	0	1728	6899	1769	939	212562	3516
1	774	211.476	118.892	0	0	4.36281	29.6947	18200	5838	130252	20541	244681	329924	429571
1	579	0	212.482	0	247.8	7.18623	7.67552	26494	2490	2855	2868	7963	146579	83816
1	1531	295.183	163.406	37.405	511.2	19.8588	11.7052	9329	5170	62043	8367	62350	338909	27127
1	358	105.421	118.485	96.8635	0	3.73538	0	0	1476	5665	5665	20886	220806	17371
1	954	117.158	226.141	84.9251	232.6	10.4182	0	0	6163	88691	5631	86414	249685	166580
1	374	0	102.146	96.648	446	3.06418	0	5697	2353	33603	22198	32718	66861	384362
1	854	1.3203	6.92762	0	593	11.6512	6.71608	3749	2714	98788	8810	98031	350376	100367
1	514	0	118.159	0	14.7	10.3161	0	14130	1274	42509	7009	95961	55773	19694
1	928	169.633	0.58903	67.7758	332.5	8.71832	29.7427	3145	10077	31365	4360	122698	150891	206145
