DSB_type	Size	Covered	Sum_324YFT	Mean0_324YFT	Mean_324YFT	Sum_533NLA	Mean0_533NLA	Mean_533NLA	Sum_965GIX	Mean0_965GIX	Mean_965GIX	Sum_CTCF	Mean0_CTCF	Mean_CTCF	Sum_709PEX	Mean0_709PEX	Mean_709PEX	Sum_529JFV	Mean0_529JFV	Mean_529JFV
DAuniqueA	419	419	0	0	0	103.044	0.245929	0.245929	0	0	0	0	0	0	20.9158	0.0499184	0.0499184	5.85842	0.0139819	0.0139819
DAuniqueA	888	888	201.362	0.226759	0.226759	97.071	0.109314	0.109314	69.9934	0.0788215	0.0788215	91.5	0.103041	0.103041	6.71608	0.00756315	0.00756315	3.05688	0.00344243	0.00344243
DAuniqueA	339	339	0	0	0	0	0	0	0	0	0	412	1.21534	1.21534	0	0	0	2.8526	0.00841476	0.00841476
DAuniqueA	712	712	229.971	0.322993	0.322993	0	0	0	154.912	0.217573	0.217573	241	0.338483	0.338483	14.6794	0.0206172	0.0206172	5.66873	0.0079617	0.0079617
DAuniqueA	559	559	39.0429	0.0698442	0.0698442	133.133	0.238162	0.238162	97.6046	0.174606	0.174606	183.6	0.328444	0.328444	0.575664	0.00102981	0.00102981	3.82292	0.00683886	0.00683886
DAuniqueA	866	866	4.401	0.00508199	0.00508199	350.679	0.404942	0.404942	41.2541	0.0476375	0.0476375	154.7	0.178637	0.178637	0	0	0	0	0	0
DAuniqueA	647	647	121.369	0.187587	0.187587	397.327	0.614106	0.614106	0	0	0	0.5	0.000772798	0.000772798	25.4252	0.039297	0.039297	12.14	0.0187635	0.0187635
DAuniqueA	572	572	32.1811	0.0562607	0.0562607	118.892	0.207854	0.207854	110.951	0.19397	0.19397	42.7	0.0746504	0.0746504	29.3109	0.0512428	0.0512428	10.7538	0.0188004	0.0188004
DAuniqueA	433	433	2.73336	0.00631261	0.00631261	47.4652	0.109619	0.109619	0	0	0	82.3	0.190069	0.190069	6.71608	0.0155106	0.0155106	12.8112	0.029587	0.029587
DAuniqueA	732	732	180.043	0.245961	0.245961	413.111	0.564359	0.564359	72.7125	0.099334	0.099334	0	0	0	14.5355	0.0198573	0.0198573	13.9931	0.0191162	0.0191162
DAuniqueA	479	479	416.063	0.868609	0.868609	644.061	1.3446	1.3446	0	0	0	585.6	1.22255	1.22255	148.713	0.310466	0.310466	19.0709	0.0398139	0.0398139
DAuniqueA	610	610	53.6324	0.087922	0.087922	221.738	0.363505	0.363505	0	0	0	28.3	0.0463934	0.0463934	10.0741	0.016515	0.016515	4.81514	0.00789368	0.00789368
DAuniqueA	844	844	58.2813	0.0690536	0.0690536	0	0	0	0	0	0	70.1	0.0830569	0.0830569	15.3511	0.0181885	0.0181885	1.88228	0.00223019	0.00223019
DAuniqueA	671	671	0	0	0	118.892	0.177187	0.177187	110.951	0.165352	0.165352	0	0	0	29.7426	0.0443259	0.0443259	12.9717	0.0193319	0.0193319
DAuniqueA	488	488	211.476	0.433352	0.433352	118.892	0.243632	0.243632	0	0	0	0	0	0	0	0	0	3.06418	0.00627905	0.00627905
DAuniqueA	785	785	105.738	0.134698	0.134698	0	0	0	0	0	0	91	0.115924	0.172023	26.8643	0.0342221	0.0342221	5.7271	0.00729567	0.00729567
DAuniqueA	970	970	119.53	0.123227	0.123227	126.819	0.130741	0.130741	56.6233	0.0583746	0.0583746	187.9	0.193711	0.193711	14.3916	0.0148367	0.0148367	8.79857	0.00907069	0.00907069
DAuniqueA	671	671	754.88	1.12501	1.12501	0	0	0	150.74	0.22465	0.22465	253	0.377049	0.377049	47.5403	0.0708499	0.0708499	32.0134	0.04771	0.04771
DAuniqueA	968	968	0	0	0	96.1047	0.0992817	0.0992817	0	0	0	0	0	0	3.45398	0.00356817	0.00356817	0.379375	0.000391916	0.000391916
DAuniqueA	292	292	0	0	0	194.46	0.665959	0.665959	43.0165	0.147317	0.147317	0	0	0	0	0	0	1.69259	0.00579655	0.00579655
DAuniqueA	394	394	0	0	0	228.155	0.579074	0.579074	0	0	0	21.3	0.0540609	0.0540609	1.00741	0.00255688	0.00255688	4.58897	0.0116471	0.0116471
DAuniqueA	754	754	317.215	0.420709	0.420709	237.808	0.315396	0.315396	0	0	0	195.5	0.259284	0.259284	59.4853	0.0788929	0.0788929	9.00284	0.0119401	0.0119401
DAuniqueA	713	713	516.554	0.72448	0.72448	46.514	0.0652371	0.0652371	0	0	0	12.1	0.0169705	0.0183333	15.8787	0.0222703	0.0222703	17.9109	0.0251204	0.0251204
DAuniqueA	512	512	0	0	0	141.295	0.275967	0.275967	0	0	0	0	0	0	3.5979	0.00702715	0.00702715	0.124026	0.000242239	0.000242239
DAuniqueA	708	708	285.029	0.402583	0.402583	0	0	0	0	0	0	232.8	0.328814	0.328814	0	0	0	11.1186	0.0157042	0.0157042
DAuniqueA	700	700	211.476	0.302109	0.302109	98.0862	0.140123	0.140123	75.7528	0.108218	0.108218	0	0	0	0	0	0	4.07098	0.00581568	0.00581568
DAuniqueA	440	440	105.738	0.240313	0.240313	0	0	0	0	0	0	192.3	0.437045	0.437045	7.67552	0.0174444	0.0174444	8.47027	0.0192506	0.0192506
DAuniqueA	761	761	0	0	0	0	0	0	0	0	0	276.6	0.363469	0.363469	29.7906	0.0391467	0.0391467	3.91777	0.00514818	0.00514818
DAuniqueA	449	449	0	0	0	118.892	0.264794	0.264794	9.94734	0.0221544	0.0221544	26	0.0579065	0.0579065	0	0	0	3.40708	0.00758814	0.00758814
DAuniqueA	791	791	304.342	0.384756	0.384756	73.7619	0.0932514	0.0932514	72.724	0.0919393	0.0919393	707.2	0.894058	0.894058	7.67552	0.00970357	0.00970357	9.77619	0.0123593	0.0123593
DAuniqueA	1059	1059	78.7016	0.0743169	0.0743169	99.5398	0.0939941	0.0939941	68.3063	0.0645008	0.0645008	152	0.143532	0.143532	45.0937	0.0425814	0.0425814	5.42067	0.00511867	0.00511867
DAuniqueA	456	456	0	0	0	184.286	0.404135	0.404135	94.1171	0.206397	0.206397	0	0	0	7.67552	0.0168323	0.0168323	3.90318	0.0085596	0.0085596
DAuniqueA	650	650	319.973	0.492266	0.492266	291.969	0.449183	0.449183	110.951	0.170694	0.170694	528.2	0.812615	0.812615	19.3807	0.0298165	0.0298165	9.68864	0.0149056	0.0149056
DAuniqueA	481	481	105.738	0.219829	0.219829	118.892	0.247178	0.247178	0	0	0	0	0	0	6.71608	0.0139627	0.0139627	3.34141	0.00694681	0.00694681
DAuniqueA	707	707	151.836	0.214762	0.214762	133.754	0.189185	0.189185	0	0	0	324.7	0.459264	0.459264	7.72349	0.0109243	0.0109243	3.77915	0.00534533	0.00534533
DAuniqueA	549	549	0	0	0	62.2353	0.113361	0.113361	22.2936	0.0406077	0.0406077	8.1	0.0147541	0.0147541	0	0	0	4.12205	0.00750828	0.00750828
DAuniqueA	691	691	0	0	0	7.92616	0.0114706	0.0114706	255.218	0.369346	0.369346	382.9	0.554124	0.554124	6.04447	0.00874743	0.00874743	4.27526	0.00618707	0.00618707
DAuniqueA	330	330	0	0	0	110.971	0.336276	0.336276	167.56	0.507758	0.507758	0	0	0	5.27692	0.0159907	0.0159907	4.94646	0.0149893	0.0149893
DAuniqueA	966	966	0	0	0	200.136	0.20718	0.20718	0	0	0	270.6	0.280124	0.280124	0	0	0	9.5719	0.0099088	0.0099088
DAuniqueA	803	803	105.738	0.131679	0.131679	118.892	0.14806	0.14806	0	0	0	261	0.325031	0.384956	0	0	0	4.3774	0.00545131	0.00545131
DAuniqueA	316	316	105.738	0.334614	0.334614	118.892	0.376242	0.376242	6.92685	0.0219204	0.0219204	0	0	0	0	0	0	4.61815	0.0146144	0.0146144
DAuniqueA	456	456	0	0	0	106.012	0.232483	0.232483	6.88662	0.0151022	0.0151022	83	0.182018	0.182018	0	0	0	4.30445	0.00943957	0.00943957
DAuniqueA	396	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	755	755	1047.16	1.38697	1.38697	446.225	0.591026	0.591026	161.446	0.213835	0.213835	261.4	0.346225	0.346225	86.3496	0.11437	0.11437	125.194	0.165819	0.165819
DAuniqueA	498	498	0	0	0	120.874	0.242719	0.242719	0	0	0	985.9	1.97972	1.97972	15.3511	0.0308254	0.0308254	2.1887	0.00439497	0.00439497
DAuniqueA	704	704	681.316	0.967778	0.967778	135.69	0.192741	0.192741	76.0612	0.108042	0.108042	558.1	0.792756	0.792756	6.71608	0.00953989	0.00953989	1.54668	0.00219699	0.00219699
DAuniqueA	831	831	244.825	0.294615	0.294615	368.28	0.443177	0.443177	26.7838	0.0322308	0.0322308	0	0	0	37.2263	0.044797	0.044797	14.781	0.017787	0.017787
DAuniqueA	624	624	0	0	0	228.879	0.366793	0.366793	0	0	0	233.8	0.374679	0.432963	6.09244	0.00976353	0.00976353	3.62594	0.00581081	0.00581081
DAuniqueA	576	576	368.767	0.64022	0.64022	272.36	0.472848	0.472848	738.997	1.28298	1.28298	475.5	0.825521	0.825521	36.3148	0.0630466	0.0630466	10.8924	0.0189105	0.0189105
DAuniqueA	1320	1320	422.953	0.320419	0.320419	511.743	0.387684	0.387684	221.897	0.168104	0.168104	199.6	0.151212	0.151212	1.43916	0.00109027	0.00109027	9.15605	0.0069364	0.0069364
DAuniqueA	714	714	0	0	0	292.007	0.408973	0.408973	0	0	0	0	0	0	0	0	0	10.9581	0.0153475	0.0153475
DAuniqueA	470	470	0	0	0	0	0	0	0	0	0	20.3	0.0431915	0.0431915	11.4173	0.0242922	0.0242922	3.16632	0.00673685	0.00673685
DAuniqueA	411	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	2377	2377	105.738	0.0444838	0.0444838	0	0	0	110.951	0.0466769	0.0466769	3542.9	1.49049	2.78749	49.8909	0.020989	0.020989	10.6517	0.00448114	0.00448114
DAuniqueA	798	798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	575	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	1175	1175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	763	763	0	0	0	0	0	0	0	0	0	0	0	0	1.91888	0.00251491	0.00251491	0	0	0
DAuniqueA	748	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	544	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	751	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	1593	1593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	688	688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAuniqueA	512	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102139	0.00019949	0.00019949
