Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	Distance_to_Origin	Distance_to_CTCF	Distance_to_DNaseIHSS1	Distance_to_DNaseIHSS2	Distance_to_H3K4me3	Distance_to_H3K27me3	Distance_to_H3K36me3
1588	0	0	118.892	0.0748693	0	0	0	118.892	19.173	0.0120737	56.7509	0.0357373	1917057	1242957	347936	312648	129370	7211	1295
589	0	0	237.795	0.403727	0	0	0	237.795	2.75776	0.00468211	8.10727	0.0137645	167078	228867	229000	167308	68525	10383	35586
1514	94.4268	0.0623691	161.946	0.106965	0	0	94.4268	161.946	6.86522	0.00453449	13.768	0.00909377	617489	206348	300329	265244	80271	2089	0
1441	484.556	0.336264	237.789	0.165017	0	0	484.556	237.789	16.6779	0.0115738	6.71608	0.00466071	3325	42318	7812	7732	872	888	0
878	0	0	320.025	0.364493	65.0403	0.0740778	0	320.025	8.18574	0.00932317	28.9751	0.0330013	58040	42444	29434	12969	7449	3370	0
731	400.448	0.547809	1049.85	1.43619	97.1004	0.132832	400.448	1049.85	9.96588	0.0136332	23.2184	0.0317626	248542	3542	72179	123721	23403	456	15367
1637	91.3571	0.0558076	177.289	0.108301	10.3896	0.00634673	91.3571	177.289	10.6298	0.00649345	16.4544	0.0100516	821567	720718	1169	1037	1015	998	6952
750	280.783	0.374378	356.684	0.475579	0	0	280.783	356.684	19.1365	0.0255154	15.351	0.0204681	269702	4586547	303373	305170	47343	31	9170
2222	462.069	0.207952	636.058	0.286255	409.686	0.184377	462.069	636.058	5762.55	2.59341	14792.3	6.65719	27695	961896	168089	170556	28916	5994	25613
759	33.5245	0.0441692	0	0	0	0	33.5245	0	2.47323	0.00325854	6.71608	0.00884859	138942	701866	154908	128725	34907	1388	35618
740	688.653	0.930613	142.435	0.192479	28.5256	0.0385481	688.653	142.435	7.01842	0.00948436	25.4731	0.0344232	6059	160994	9727	9897	9217	149	186729
722	1605.1	2.22313	305.27	0.422812	139.428	0.193114	1605.1	305.27	1.02139	0.00141467	2.20671	0.00305639	0	274977	22370	24807	23507	894	0
1024	222.617	0.2174	0	0	171.407	0.167389	222.617	0	10.3088	0.0100672	8.10727	0.00791725	540794	795191	474973	1081	11319	1017	0
1195	0	0	0	0	0	0	0	0	21.1574	0.017705	49.8909	0.0417497	132965	2099859	31411	416736	345699	27756	677909
1254	0	0	0	0	0	0	0	0	43.0371	0.0343199	48.9794	0.0390586	521261	415847	633827	363259	177699	16528	3954
1229	105.738	0.0860357	94.1279	0.076589	102.534	0.0834289	105.738	94.1279	7.82095	0.00636367	0	0	185946	18175	36216	7308	5048	4661	71836
1637	91.4136	0.0558421	77.0504	0.0470681	0	0	91.4136	77.0504	9.28738	0.00567342	6.90797	0.0042199	117528	3731134	102772	103358	25290	1628	0
1213	525.129	0.432918	1576.59	1.29974	461.627	0.380566	525.129	1576.59	24.8855	0.0205157	10.314	0.00850287	933715	34625	85317	8443	8463	0	7480
1074	113.094	0.105301	118.892	0.110701	0	0	113.094	118.892	12.7309	0.0118538	12.3288	0.0114793	536980	25247	311457	56444	8622	0	15319
734	382.145	0.520633	1902.33	2.59173	110.951	0.15116	382.145	1902.33	6.97466	0.00950226	15.3511	0.0209142	106554	231	130909	49098	39398	0	5552
1440	162.989	0.113187	94.265	0.0654618	86.9427	0.0603769	162.989	94.265	5.79275	0.00402275	16.9821	0.0117931	290754	269610	83617	83764	9342	10635	25548
1450	427.072	0.294532	857.581	0.591435	3800.45	2.621	427.072	857.581	54.6446	0.0376859	121.369	0.0837029	19147	6337	0	0	0	0	19766
588	166.895	0.283836	0	0	0	0	166.895	0	16.0505	0.0272967	3.83776	0.0065268	9249	59062	49225	50159	36847	17811	0
849	0	0	0	0	0	0	0	0	0	0	0	0	111936	524556	33942	114745	114745	93145	0
828	422.953	0.510813	475.598	0.574394	0	0	422.953	475.598	10.6517	0.0128643	6.71608	0.00811121	1285424	807833	819476	830685	11631	1071	0
1558	408.082	0.261927	1029.77	0.660955	315.92	0.202773	408.082	1029.77	56.2058	0.0360756	35.4993	0.0227852	267347	87191	74571	61924	11708	2069	0
1126	117.691	0.104521	388.404	0.344941	66.5707	0.0591214	117.691	388.404	26.6511	0.0236688	29.071	0.025818	388318	17605	90272	144	164	106	0
2122	501.118	0.236153	461.704	0.21758	0	0	501.118	461.704	24.6593	0.0116208	63.3231	0.0298412	115886	4313287	180206	139152	40218	5523	0
765	292.972	0.38297	495.763	0.648057	146.916	0.192047	292.972	495.763	51.8211	0.06774	47.2524	0.0617679	418096	24875	55108	3456	3476	0	0
601	0	0	88.1811	0.146724	110.951	0.184611	0	88.1811	5.42797	0.00903157	6.86	0.0114143	78487	20635	48418	18194	18223	2637	0
912	153.627	0.16845	1349.08	1.47925	229.762	0.251932	153.627	1349.08	15.9483	0.0174872	7.67552	0.00841614	405443	89025	377696	30407	30239	12538	14950
564	313.264	0.555434	332.674	0.589848	0	0	313.264	332.674	8.14196	0.0144361	6.71608	0.0119079	221425	75555	213149	58407	36936	1705	2848
1095	482.672	0.440796	884.64	0.80789	240.045	0.219219	482.672	884.64	8.27328	0.00755551	11.3694	0.010383	29796	66316	19283	17878	8483	3934	0
1674	992.363	0.59281	3145.44	1.879	563.228	0.336456	992.363	3145.44	65.8069	0.0393112	123.48	0.0737634	155506	503	32254	4545	4545	0	23675
643	334.175	0.519712	132.034	0.20534	77.2191	0.120092	334.175	132.034	15.5471	0.024179	15.3511	0.0238741	4389899	11294620	302794	364073	137845	3715	0
585	0	0	0	0	0	0	0	0	6.28156	0.0107377	15.3511	0.0262411	1333584	1951671	1335327	1336922	24970	17550	9932
650	0	0	0	0	0	0	0	0	0	0	0	0	1113299	1552521	915726	1154493	134154	134013	172108
3216	880.052	0.273648	1541.52	0.479328	974.926	0.303149	880.052	1541.52	42.1106	0.0130941	45.5734	0.0141708	102562	674307	154313	8694	6514	0	10640
770	0	0	118.838	0.154335	110.951	0.144092	0	118.838	3.356	0.00435844	13.4322	0.0174444	193984	240852	204909	16361	16401	1268	11012
1360	375.496	0.2761	1568.48	1.1533	9.69759	0.00713058	375.496	1568.48	4509.39	3.31573	2560.17	1.88248	139090	72345	26178	63758	15438	9448	0
610	81.064	0.132892	947.683	1.55358	71.4222	0.117086	81.064	947.683	0	0	0	0	252646	7025	244425	11132	11066	0	8479
560	284.451	0.507949	576.761	1.02993	0	0	284.451	576.761	3.11525	0.00556294	42.839	0.0764983	46926	20206	112141	2401	2400	1689	4434
1446	881.921	0.609904	1846.36	1.27687	269.592	0.18644	881.921	1846.36	20.4716	0.0141574	6.71608	0.00464459	312068	725294	362048	221279	348	0	0
2153	456.985	0.212255	741.709	0.3445	276.192	0.128283	456.985	741.709	100.585	0.0467187	115.996	0.0538766	1014019	637357	638257	276669	27872	8295	16385
1031	105.738	0.102559	0	0	110.951	0.107615	105.738	0	4.15853	0.00403349	0.671608	0.000651414	271878	161027	291642	43686	43209	4574	6770
