DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2
1	948	113.936	0.120186	181.502	0.191457	0	0	199.7	0.210654	3.41437	0.00360166	2.25468	0.00237836
1	701	0	0	112.529	0.160526	0	0	228.4	0.32582	5.72709	0.00816989	0	0
1	515	6.71928	0.0130471	118.396	0.229896	0	0	231	0.448544	1.92606	0.00373992	29.6467	0.0575664
1	522	94.7044	0.181426	0	0	110.951	0.21255	544.6	1.0433	3.24657	0.00621948	7.67552	0.0147041
1	495	226.835	0.458252	95.8088	0.193553	0	0	131.3	0.265253	9.55732	0.0193077	7.67552	0.0155061
1	362	611.444	1.68907	0	0	0	0	73.6	0.203315	0.984915	0.00272076	14.3916	0.0397558
1	484	100.009	0.206629	0	0	0	0	0	0	5.20911	0.0107626	0.287832	0.000594694
1	1078	270.491	0.25092	0	0	101.502	0.0941573	25.8	0.0308982	9.92211	0.00920418	24.3698	0.0226065
1	535	205.96	0.384971	0	0	0	0	0	0	8.70373	0.0162686	10.8417	0.0202648
1	1804	273.999	0.151884	118.892	0.0659049	0	0	113.3	0.0628049	14.1536	0.00784567	13.4322	0.00744577
1	1222	88.8986	0.0727485	0	0	0	0	206.6	0.246246	5.85112	0.00478815	0	0
1	622	0	0	0	0	110.951	0.178378	0	0	7.87932	0.0126677	6.71608	0.0107976
1	745	0	0	0	0	0	0	1187.1	1.59342	1.16731	0.00156685	1.67902	0.00225372
1	687	0	0	315.456	0.459179	0	0	302.7	0.440611	2.8672	0.00417351	3.50196	0.00509746
1	1029	105.738	0.102758	31.1752	0.0302966	3.23253	0.00314143	134.8	0.131001	14.0806	0.0136838	34.3959	0.0334266
1	639	0	0	118.892	0.18606	0	0	208.9	0.326917	8.15655	0.0127646	13.4322	0.0210206
1	769	295.643	0.384451	0	0	0	0	115.6	0.150325	4.30444	0.00559745	6.71608	0.00873352
1	453	211.476	0.466835	0	0	0	0	70	0.210843	0.517993	0.00114347	0	0
1	495	0	0	0	0	0	0	0	0	0	0	0	0
1	773	248.51	0.321488	229.123	0.296408	0.46179	0.0005974	509.4	0.840594	13.621	0.017621	38.7614	0.0501441
1	408	0	0	0	0	23.7206	0.0581387	135.5	0.58658	2.8599	0.00700956	17.078	0.0418579
1	779	187.508	0.240703	88.6401	0.113787	0	0	69	0.0885751	2.23247	0.00286582	0	0
1	401	0	0	0	0	0	0	24.7	0.061596	6.62446	0.0165199	0	0
1	749	160.067	0.213707	153.506	0.204948	0	0	190.4	0.254206	4.84432	0.00646772	1.15133	0.00153715
1	739	0	0	0	0	0	0	52.5	0.0710419	6.10647	0.00826315	4.89315	0.00662131
1	962	80.4091	0.0835853	73.857	0.0767744	0	0	48.4	0.0582431	5.40608	0.00561963	17.126	0.0178025
1	462	0	0	118.892	0.257343	0	0	69.7	0.150866	5.39879	0.0116857	2.87832	0.00623013
1	927	422.953	0.45626	364.625	0.393339	40.5545	0.0437482	167.6	0.180798	6.7193	0.00724844	8.68293	0.0093667
1	726	0	0	118.892	0.163764	1.53036	0.00210793	0	0	5.26746	0.00725546	0	0
1	384	0	0	0	0	0	0	476.2	2.07043	1.16731	0.00303986	0	0
1	1136	55.6079	0.0489507	24.0527	0.0211732	0	0	0	0	6.36182	0.0056002	6.71608	0.00591204
1	766	2.43941	0.00318461	253.088	0.330402	17.7587	0.0231837	0	0	7.66774	0.0100101	9.35454	0.0122122
1	576	200.442	0.34799	237.811	0.412866	0	0	109.1	0.18941	5.93138	0.0102975	32.1413	0.0558008
1	955	945.209	0.989748	10.8985	0.011412	71.9269	0.0753161	505.6	0.529424	22.4925	0.0235524	50.1787	0.0525432
1	744	67.5918	0.0908492	504.022	0.677449	69.9634	0.0940368	184.8	0.248387	7.3978	0.00994328	0	0
1	515	159.002	0.308742	309.576	0.601119	0	0	159.3	0.536364	11.4031	0.022142	3.50196	0.00679991
1	429	6.69718	0.0156111	209.573	0.488516	0	0	168.7	0.39324	4.3774	0.0102037	11.6092	0.0270611
1	480	0	0	0	0	66.5458	0.138637	215.8	0.449583	6.74119	0.0140442	21.2996	0.0443741
1	511	0	0	157.545	0.308308	0	0	333.8	0.653229	3.59676	0.00703867	5.6607	0.0110777
1	744	262.046	0.352212	91.1508	0.122515	40.7398	0.0547577	79	0.106183	10.9435	0.014709	7.86741	0.0105745
1	680	0	0	0	0	0	0	199.9	0.293971	7.90121	0.0116194	30.0305	0.0441625
1	1000	357.17	0.35717	368.242	0.368242	125.301	0.125301	154.9	0.1549	10.5058	0.0105058	12.8085	0.0128085
1	1348	422.953	0.313763	934.358	0.693144	0	0	67.5	0.0500742	5.74169	0.00425941	76.1796	0.056513
1	709	0	0	0	0	0	0	0	0	1.16731	0.00164641	0	0
1	817	0	0	0	0	0	0	0	0	1.29863	0.00158951	7.67552	0.00939476
1	816	278.759	0.341617	332.451	0.407416	64.6697	0.0792521	93.4	0.114461	4.76407	0.00583832	7.67552	0.00940627
1	755	0	0	0	0	0	0	0	0	0	0	10.9376	0.0144869
1	487	77.5734	0.159288	9.40168	0.0193053	0	0	90.4	0.185626	3.67702	0.00755034	1.87091	0.0038417
1	3845	317.215	0.0825006	1188.98	0.309229	2773.46	0.721316	609	0.500411	64.2019	0.0166975	33.9162	0.00882086
1	703	0	0	0	0	0	0	247	0.857639	2.94015	0.00418229	0	0
1	347	0	0	0	0	0	0	441.4	1.27205	7.49265	0.0215927	0	0
1	4150	211.476	0.050958	118.892	0.0286488	0	0	871.4	0.676028	33.706	0.00812192	14.3916	0.00346786
1	650	0	0	0	0	0	0	0	0	0	0	0	0
1	560	211.476	0.377635	0	0	221.902	0.396254	729.1	1.30196	4.29714	0.00767347	0.527692	0.000942307
1	550	143.491	0.260892	112.194	0.203989	4.3428	0.007896	160.5	0.291818	3.09336	0.00562429	0	0
1	533	93.9111	0.176193	0	0	87.5807	0.164316	0	0	7.55101	0.014167	27.9197	0.0523822
1	447	0	0	4.94814	0.0110697	35.4445	0.0792941	0	0	3.16632	0.00708348	8.87482	0.0198542
1	786	66.2855	0.0843326	93.1119	0.118463	0	0	365	0.477124	5.25288	0.00668305	3.5979	0.00457748
1	1024	222.617	0.2174	0	0	171.407	0.167389	225.5	0.220215	10.3088	0.0100672	8.10727	0.00791725
1	329	31.0052	0.0942407	0	0	0	0	86.3	0.26231	4.73489	0.0143918	0	0
1	726	105.738	0.145644	237.812	0.327565	110.951	0.152825	108.7	0.149725	5.5447	0.00763733	0	0
1	393	38.6174	0.0982631	0	0	221.876	0.56457	755.9	1.92341	10.1264	0.0257669	19.2848	0.0490706
