DSBType	Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1	715	91.1455	0.127476	82.1552	0.114902	6.23376	0.00871855	2510.2	3.51077	11.9576	0.0167239	31.4217	0.0439464	0	221	30198	258	40777	5092	122809
1	495	0	0	74.3077	0.150117	0	0	194.6	0.400412	0.48881	0.000987495	0.383776	0.000775305	0	8279	11242	11244	16726	229587	10567
1	356	0	0	289.318	0.81269	208.894	0.58678	33.6	0.094382	1.16731	0.00327895	14.9673	0.0420429	4702	25525	40425	40465	757439	535953	1870194
1	685	0	0	0	0	0	0	396.8	0.57927	5.26747	0.00768974	26.1927	0.0382375	7199	5492	33452	8787	115260	105423	1228015
1	785	0	0	96.8428	0.123367	75.2752	0.095892	115.6	0.234959	8.53593	0.0108738	8.15524	0.0103888	21199	1274	129366	30281	373884	284170	834313
1	479	189.409	0.395425	117.902	0.246141	245.602	0.512739	0	0	7.45617	0.0155661	47.4923	0.0991489	18188	6490	203080	64428	250592	648659	774944
1	1438	105.738	0.0735312	118.892	0.082679	0	0	0	0	9.94399	0.00691515	28.4474	0.0197826	0	5728	3681	3636	218069	104508	309386
1	620	63.4427	0.102327	107.003	0.172586	0	0	119.2	0.192258	9.30926	0.0150149	6.71608	0.0108324	0	49262	464221	106179	1154663	900842	1693680
1	477	43.6631	0.091537	126.807	0.265842	66.0309	0.13843	129.8	0.272117	3.46544	0.00726507	0	0	7408	389	406794	163749	1097236	843415	1751250
1	560	105.738	0.188818	0	0	0	0	0	0	7.14975	0.0127674	0	0	1983	3089	231459	43937	458275	204454	2390128
1	599	0	0	237.797	0.39699	0	0	69.5	0.116027	1.86769	0.00311801	9.30658	0.0155369	8733	1832	148254	23154	508693	107331	918752
