Size	Sum_H3K36me3	Mean_H3K36me3	Sum_H3K27me3	Mean_H3K27me3	Sum_H3K4me3	Mean_H3K4me3	Sum_CTCF	Mean_CTCF	Sum_DNaseIHSS1	Mean_DNaseIHSS1	Sum_DNaseIHSS2	Mean_DNaseIHSS2	DistanceToOrigin	DistanceToCTCF	DistanceToDNaseIHSS1	DistanceToDNaseIHSS2	DistanceToH3K4me3	DistanceToH3K27me3	DistanceToH3K36me3
1630	720.554	0.442058	498.083	0.305572	390.441	0.239534	8770.7	5.3808	187.426	0.114985	126.886	0.0778442	15629	2407	346974	26327	575361	2009917	2388393
712	105.738	0.148508	123.846	0.173941	0	0	107.2	0.150562	5.19451	0.00729566	6.71608	0.0094327	0	859	13096	5751	60006	13278	48240
528	105.738	0.200261	237.787	0.450355	0	0	145.8	0.276136	10.6079	0.0200907	12.1849	0.0230774	10254	1453	634449	22933	690262	1407310	1120968
779	0	0	17.8339	0.0228933	0	0	338.8	0.434917	5.59577	0.00718327	0	0	129525	39263	504536	159954	3145074	3781869	3342647
605	0	0	0	0	110.951	0.18339	577.1	4.65403	0.445036	0.000735596	0	0	157287	1359	302854	147841	157877	4267	1560597
559	0	0	0	0	0	0	0	0	0	0	0	0	440	8450	1104361	5873	1816261	1084342	1821816
976	0	0	237.808	0.243656	0	0	366.7	0.375717	11.0165	0.0112874	0	0	0	458888	511355	60475	524166	1002795	552516
659	0	0	237.785	0.360827	1.53036	0.00232225	26.2	0.0397572	2.34921	0.0035648	20.9638	0.0318115	1548	2302	25947	2703	7268	153370	302077
329	57.0065	0.173272	0	0	0	0	0	0	8.14926	0.0247698	2.49454	0.0075822	481751	8624	75172	19884	20050	1299956	1383485
861	283.961	0.329804	281.908	0.327419	30.7086	0.0356662	659.4	0.950144	14.584	0.0169385	39.529	0.0459105	0	1233	22506	15579	51524	56253	16749
1024	0	0	64.3856	0.0628766	0	0	252.8	0.246875	14.1098	0.0137791	7.67552	0.00749563	14738	9286	391898	160312	712025	497288	744554
581	182.558	0.314213	449.793	0.77417	73.4062	0.126345	162.6	0.279862	4.67652	0.00804908	15.5909	0.0268346	2975	6204	6284	6259	6116	174323	88755
647	127.372	0.196866	74.4186	0.115021	86.0516	0.133001	0	0	7.68963	0.0118851	14.3916	0.0222436	0	109657	1738174	827245	1737729	2699806	2148845
2175	0	0	118.892	0.0546632	0	0	0	0	0	0	0	0	185398	145176	798904	8904	798677	2094367	1069371
