"Size" "Sum_H3K36me3" "Mean_H3K36me3" "Sum_H3K27me3" "Mean_H3K27me3" "Sum_H3K4me3" "Mean_H3K4me3" "Sum_CTCF" "Mean_CTCF" "Sum_DNaseIHSS1" "Mean_DNaseIHSS1" "Sum_DNaseIHSS2" "Mean_DNaseIHSS2" "DistanceToOrigin" "DistanceToCTCF" "DistanceToDNaseIHSS1" "DistanceToDNaseIHSS2" "DistanceToH3K4me3" "DistanceToH3K27me3" "DistanceToH3K36me3"
"2598" "1063" "105.738" "0.0994712" "8.91693" "0.00838846" "0" "0" "257.1" "0.241863" "11.5126" "0.0108303" "0" "0" "30128" "9817" "5329" "39795" "199107" "24246" "171874"
"3721" "411" "0" "0" "119.883" "0.291687" "0" "0" "500.3" "1.21727" "3.45085" "0.00839623" "4.89314" "0.0119055" "16653" "8469" "12772" "12812" "12226" "581430" "14089"
"946" "817" "157.228" "0.192445" "118.892" "0.145523" "84.935" "0.10396" "181.1" "0.221665" "8.60889" "0.0105372" "14.2477" "0.017439" "11996" "1011" "113856" "33599" "33280" "16200" "288598"
"2832" "1876" "45.4795" "0.0242428" "0" "0" "116.595" "0.0621508" "162.2" "0.168607" "11.2207" "0.0059812" "23.0266" "0.0122743" "11315" "142" "33283" "5237" "6063" "102037" "79459"
"766" "679" "0" "0" "111.13" "0.163666" "0" "0" "97" "0.142857" "8.54323" "0.0125821" "0" "0" "5855" "10422" "22197" "2457" "39170" "118163" "183548"
"3010" "738" "105.738" "0.143276" "341.832" "0.463187" "117.073" "0.158635" "584.7" "0.792276" "6.98925" "0.00947053" "23.0266" "0.0312013" "7853" "2659" "196030" "3170" "9554" "101076" "197503"
"71" "785" "105.738" "0.134698" "0" "0" "0" "0" "91" "0.172023" "5.7271" "0.00729567" "26.8643" "0.0342221" "2699" "53217" "56619" "37548" "248345" "903704" "1045383"
"1492" "336" "80.9125" "0.240811" "118.892" "0.353846" "45.1456" "0.134362" "551.4" "1.64107" "5.28206" "0.0157204" "8.82685" "0.0262704" "15828" "793" "23352" "3508" "21688" "328511" "145081"
"274" "1225" "214.706" "0.17527" "419.925" "0.342796" "0" "0" "977.2" "0.797714" "6.82874" "0.00557448" "6.71608" "0.00548251" "17573" "534" "261120" "17306" "260330" "33295" "587278"
"1856" "778" "429.389" "0.551913" "76.2973" "0.0980686" "220.355" "0.283233" "70.2" "0.0902314" "12.5777" "0.0161667" "15.7348" "0.0202247" "869199" "3901" "4323574" "16130" "1105819" "21109535" "4670054"
